Accession No.	Order	Family	Subfamily	Genus
HM134276.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
DQ087285.2	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
KC618326.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
U32222.1	Caudovirales	Myoviridae	Peduovirinae	Peduovirus
MH622927.1	Caudovirales	Siphoviridae	unassigned	unassigned
MH622920.1	Caudovirales	Podoviridae	unassigned	unassigned
MH622919.1	Caudovirales	Podoviridae	unassigned	unassigned
MH511048.1	Caudovirales	Podoviridae	unassigned	unassigned
MH593831.1	Caudovirales	Podoviridae	unassigned	unassigned
MH552499.1	Caudovirales	Podoviridae	unassigned	unassigned
MH617451.1	Caudovirales	Podoviridae	unassigned	unassigned
MH552495.1	Caudovirales	Podoviridae	unassigned	unassigned
MH510277.1	Caudovirales	Podoviridae	unassigned	unassigned
MH649012.1	Caudovirales	Podoviridae	unassigned	unassigned
MK250017.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_023719.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_042013.1	Caudovirales	Myoviridae	unassigned	Polybotosvirus
MH494197.1	Caudovirales	Myoviridae	unassigned	Asteriusvirus
KU574722.1	Caudovirales	Myoviridae	unassigned	Eneladusvirus
MK327931.1	Caudovirales	Myoviridae	unassigned	Asteriusvirus
NC_019401.1	Caudovirales	Myoviridae	unassigned	Eneladusvirus
NC_041917.1	Caudovirales	Myoviridae	unassigned	Eneladusvirus
LR596615.1	Caudovirales	Myoviridae	unassigned	Eneladusvirus
MK268344.1	Caudovirales	Myoviridae	unassigned	unassigned
KM507819.1	Caudovirales	Myoviridae	unassigned	Asteriusvirus
AB897757.1	Caudovirales	Myoviridae	unassigned	Alcyoneusvirus
EU197055.1	Caudovirales	Myoviridae	unassigned	Phikzvirus
HQ630627.1	Caudovirales	Myoviridae	unassigned	Phikzvirus
JN627160.1	Caudovirales	Myoviridae	unassigned	unassigned
JQ768459.1	Caudovirales	Myoviridae	unassigned	unassigned
AF399011.1	Caudovirales	Myoviridae	unassigned	Phikzvirus
NC_019406.1	Caudovirales	Siphoviridae	unassigned	unassigned
AP017924.1	Caudovirales	Myoviridae	unassigned	Ripduovirus
MF063068.1	Caudovirales	Myoviridae	unassigned	Noxifervirus
MF285618.1	Caudovirales	Myoviridae	unassigned	Iapetusvirus
MG655269.1	Caudovirales	Myoviridae	unassigned	Agricanvirus
MK552140.1	Caudovirales	Myoviridae	unassigned	Mieseafarmvirus
AJ972879.2	Caudovirales	Myoviridae	unassigned	unassigned
MN102098.1	Caudovirales	Myoviridae	unassigned	unassigned
KF147891.1	Caudovirales	Myoviridae	unassigned	unassigned
MH389777.1	Caudovirales	Myoviridae	unassigned	unassigned
GU071092.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_043027.1	Caudovirales	Myoviridae	unassigned	unassigned
MF360957.1	Caudovirales	Myoviridae	unassigned	unassigned
MH221129.1	Caudovirales	Myoviridae	unassigned	Seoulvirus
KT919973.1	Caudovirales	Myoviridae	Tevenvirinae	Schizotequatrovirus
HQ317393.2	Caudovirales	Myoviridae	Tevenvirinae	Schizotequatrovirus
JN849462.1	Caudovirales	Myoviridae	Tevenvirinae	Schizotequatrovirus
KX397369.1	Caudovirales	Myoviridae	unassigned	unassigned
KX397364.2	Caudovirales	Myoviridae	unassigned	Erskinevirus
KX397366.1	Caudovirales	Myoviridae	unassigned	Machinavirus
KX397373.1	Caudovirales	Myoviridae	unassigned	Erskinevirus
NC_042056.1	Caudovirales	Myoviridae	unassigned	Machinavirus
KX397370.1	Caudovirales	Myoviridae	unassigned	Machinavirus
KX397365.1	Caudovirales	Myoviridae	unassigned	Machinavirus
NC_027402.1	Caudovirales	Myoviridae	unassigned	Seoulvirus
NC_041916.1	Caudovirales	Myoviridae	unassigned	Tidunavirus
MK905543.1	Caudovirales	Myoviridae	unassigned	Aphroditevirus
MG720308.1	Caudovirales	Myoviridae	unassigned	Aphroditevirus
KY290955.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
KC131130.1	Caudovirales	Myoviridae	unassigned	Tidunavirus
MF459646.1	Caudovirales	Myoviridae	unassigned	Risingsunvirus
NC_041884.1	Caudovirales	Myoviridae	unassigned	Metrivirus
NC_005260.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
HQ317391.1	Caudovirales	Myoviridae	unassigned	unassigned
MH791404.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
JX123262.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
AB366653.2	Caudovirales	Myoviridae	unassigned	Mieseafarmvirus
NC_031043.1	Caudovirales	Myoviridae	unassigned	unassigned
KY555145.1	Caudovirales	Siphoviridae	unassigned	Phicbkvirus
KJ019059.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_014636.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
JX094500.1	Caudovirales	Myoviridae	unassigned	unassigned
MK514282.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_028950.1	Caudovirales	Myoviridae	unassigned	Chiangmaivirus
NC_019408.1	Caudovirales	Siphoviridae	unassigned	Phicbkvirus
NC_028899.1	Caudovirales	Myoviridae	unassigned	Chiangmaivirus
JF974299.1	Caudovirales	Myoviridae	unassigned	unassigned
GU396103.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
NC_031245.1	Caudovirales	Myoviridae	unassigned	Thornevirus
NC_019521.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_009760.1	Caudovirales	Myoviridae	unassigned	unassigned
KF623294.1	Caudovirales	Myoviridae	unassigned	Iapetusvirus
NC_031927.1	Caudovirales	Myoviridae	unassigned	unassigned
MN018232.1	Caudovirales	Myoviridae	unassigned	unassigned
AJ697969.1	Caudovirales	Myoviridae	unassigned	Elvirus
MK799832.1	Caudovirales	Myoviridae	unassigned	unassigned
HQ633071.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_028945.1	Caudovirales	Myoviridae	unassigned	Emdodecavirus
KU686199.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_020837.1	Caudovirales	Myoviridae	unassigned	unassigned
KX349293.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_028955.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_006820.1	Caudovirales	Myoviridae	unassigned	unassigned
FM207411.1	Caudovirales	Myoviridae	unassigned	unassigned
KU594606.1	Caudovirales	Myoviridae	unassigned	unassigned
KX452698.1	Caudovirales	Myoviridae	Tevenvirinae	Tequatrovirus
KX349297.1	Caudovirales	Myoviridae	unassigned	unassigned
HQ634193.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_026926.1	Caudovirales	Myoviridae	unassigned	unassigned
GU071095.1	Caudovirales	Myoviridae	unassigned	unassigned
KJ019082.1	Caudovirales	Myoviridae	unassigned	unassigned
KJ019094.1	Caudovirales	Myoviridae	unassigned	unassigned
KF156338.1	Caudovirales	Myoviridae	unassigned	unassigned
KP211958.1	Caudovirales	Myoviridae	unassigned	unassigned
MH576962.1	Caudovirales	Siphoviridae	unassigned	unassigned
KY703222.1	Caudovirales	Myoviridae	Tevenvirinae	Mosigvirus
NC_031935.1	Caudovirales	Myoviridae	unassigned	unassigned
KU686210.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_015284.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_019507.1	Caudovirales	Myoviridae	Eucampyvirinae	Firehammervirus
HQ316583.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_015290.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_028773.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
KX443552.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
NC_015280.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_020845.1	Caudovirales	Myoviridae	unassigned	unassigned
KX349303.1	Caudovirales	Myoviridae	unassigned	unassigned
AY967407.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
NC_031057.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
KJ019062.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_021559.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_021072.1	Caudovirales	Myoviridae	unassigned	unassigned
HQ634176.1	Caudovirales	Myoviridae	unassigned	unassigned
HQ615693.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_028683.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
FN667788.1	Caudovirales	Myoviridae	Eucampyvirinae	Firehammervirus
DQ149023.2	Caudovirales	Myoviridae	unassigned	unassigned
NC_021071.1	Caudovirales	Myoviridae	unassigned	unassigned
MH512890.1	Caudovirales	Myoviridae	unassigned	unassigned
KX349324.1	Caudovirales	Myoviridae	unassigned	unassigned
KC801932.2	Caudovirales	Myoviridae	Tevenvirinae	unassigned
NC_015289.1	Caudovirales	Myoviridae	unassigned	unassigned
KJ019128.1	Caudovirales	Myoviridae	unassigned	unassigned
KT001918.1	Caudovirales	Myoviridae	Tevenvirinae	Slopekvirus
NC_028750.1	Caudovirales	Myoviridae	Tevenvirinae	Slopekvirus
KX349230.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_027996.1	Caudovirales	Myoviridae	Eucampyvirinae	Firehammervirus
HQ634190.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_026924.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_031922.1	Caudovirales	Myoviridae	unassigned	unassigned
KX349312.1	Caudovirales	Myoviridae	unassigned	unassigned
MG065686.1	unassigned	unassigned	unassigned	unassigned
KY290957.1	Caudovirales	Myoviridae	unassigned	Biquartavirus
KU594605.1	Caudovirales	Myoviridae	unassigned	unassigned
KY945241.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_015282.1	Caudovirales	Myoviridae	unassigned	unassigned
KJ101592.1	Caudovirales	Myoviridae	Tevenvirinae	Karamvirus
JN371769.1	Caudovirales	Myoviridae	unassigned	unassigned
KJ019133.1	Caudovirales	Myoviridae	unassigned	unassigned
KT001915.1	Caudovirales	Myoviridae	Tevenvirinae	Moonvirus
MF036692.1	Caudovirales	Myoviridae	unassigned	Winklervirus
KU686208.1	Caudovirales	Myoviridae	unassigned	unassigned
MH051917.1	Caudovirales	Myoviridae	Tevenvirinae	Dhakavirus
KJ019076.1	Caudovirales	Myoviridae	unassigned	unassigned
MG250484.1	Caudovirales	Myoviridae	Tevenvirinae	Moonvirus
NC_021536.1	Caudovirales	Myoviridae	unassigned	unassigned
KX349285.1	Caudovirales	Myoviridae	unassigned	unassigned
KP007362.1	Caudovirales	Myoviridae	Tevenvirinae	Gaprivervirus
EU863409.1	Caudovirales	Myoviridae	Tevenvirinae	Dhakavirus
NC_028925.1	Caudovirales	Myoviridae	Tevenvirinae	Gaprivervirus
KX009778.3	Caudovirales	Myoviridae	Tevenvirinae	Tequatrovirus
MK327932.1	Caudovirales	Myoviridae	Tevenvirinae	Krischvirus
NC_014595.1	Caudovirales	Myoviridae	Tevenvirinae	Gaprivervirus
NC_028847.1	Caudovirales	Myoviridae	Tevenvirinae	Dhakavirus
MF044457.1	Caudovirales	Myoviridae	Tevenvirinae	Mosigvirus
NC_041990.1	Caudovirales	Myoviridae	Tevenvirinae	Mosigvirus
NC_028881.1	Caudovirales	Myoviridae	Tevenvirinae	Dhakavirus
KP007360.1	Caudovirales	Myoviridae	Tevenvirinae	Gaprivervirus
NC_028940.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
NC_014663.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
KF356199.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_029002.1	Caudovirales	Myoviridae	unassigned	unassigned
KM607003.1	Caudovirales	Myoviridae	Tevenvirinae	Tequatrovirus
NC_023007.1	Caudovirales	Siphoviridae	unassigned	unassigned
HE956709.1	Caudovirales	Myoviridae	unassigned	Tegunavirus
NC_031095.1	Caudovirales	Myoviridae	Tevenvirinae	Jiaodavirus
NC_031087.1	Caudovirales	Myoviridae	Tevenvirinae	Jiaodavirus
MG696114.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
NC_014660.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
NC_030948.1	Caudovirales	Ackermannviridae	unassigned	unassigned
NC_028887.1	Caudovirales	Herelleviridae	Bastillevirinae	Bequatrovirus
JQ340088.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_024121.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
MK240351.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
MH713599.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
KY888882.1	Caudovirales	Herelleviridae	Bastillevirinae	Bequatrovirus
MH179477.1	Caudovirales	Myoviridae	unassigned	Tulanevirus
GU323318.1	Caudovirales	Myoviridae	Tevenvirinae	Karamvirus
KF669647.1	Caudovirales	Herelleviridae	Bastillevirinae	Bequatrovirus
NC_042140.1	Caudovirales	Herelleviridae	Bastillevirinae	Caeruleovirus
EU826466.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_014661.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
MG973030.1	Caudovirales	Ackermannviridae	unassigned	unassigned
MF001355.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
NC_031116.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
NC_031020.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
NC_031037.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
KJ174318.1	Caudovirales	Ackermannviridae	Cvivirinae	Kuttervirus
KU737346.1	Caudovirales	Herelleviridae	Bastillevirinae	Bastillevirus
JN797796.1	Caudovirales	Herelleviridae	Bastillevirinae	Bequatrovirus
KT224359.1	Caudovirales	Herelleviridae	Bastillevirinae	Tsarbombavirus
MF288918.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
NC_031054.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
KU737350.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
KX147229.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
MF288917.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
KT207918.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
MH638310.1	Caudovirales	Herelleviridae	Bastillevirinae	Bastillevirus
MF288919.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
NC_031006.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
NC_019516.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_027374.1	Caudovirales	Herelleviridae	Bastillevirinae	unassigned
NC_031034.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
KX752698.1	Caudovirales	Myoviridae	unassigned	Bixzunavirus
JN377894.1	Caudovirales	Myoviridae	unassigned	Tulanevirus
MH697579.1	Caudovirales	Myoviridae	unassigned	Bixzunavirus
NC_024792.1	Caudovirales	Herelleviridae	Bastillevirinae	Agatevirus
KX452697.1	Caudovirales	Ackermannviridae	unassigned	unassigned
NC_020416.1	Caudovirales	Myoviridae	Tevenvirinae	Gelderlandvirus
NC_022343.1	Caudovirales	Ackermannviridae	unassigned	unassigned
MG592621.1	Caudovirales	Ackermannviridae	unassigned	unassigned
KU867307.1	Caudovirales	Myoviridae	Tevenvirinae	Gelderlandvirus
MK580972.1	Caudovirales	Ackermannviridae	unassigned	unassigned
HM114315.1	Caudovirales	Myoviridae	Tevenvirinae	unassigned
JX181829.1	Caudovirales	Ackermannviridae	Aglimvirinae	Agtrevirus
KC430106.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
NC_027352.1	Caudovirales	Herelleviridae	Bastillevirinae	Caeruleovirus
KJ081346.1	Caudovirales	Herelleviridae	Bastillevirinae	Caeruleovirus
NC_024211.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
NC_020873.1	Caudovirales	Herelleviridae	Bastillevirinae	Caeruleovirus
MH940212.1	Caudovirales	Myoviridae	unassigned	Viunavirus
MH487649.1	Caudovirales	Herelleviridae	Bastillevirinae	Tsarbombavirus
NC_018857.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
NC_041881.1	Caudovirales	Myoviridae	unassigned	Chakrabartyvirus
KX495186.1	Caudovirales	Herelleviridae	Bastillevirinae	Caeruleovirus
NC_013693.1	Caudovirales	Ackermannviridae	Aglimvirinae	Agtrevirus
NC_031056.1	Caudovirales	Herelleviridae	Bastillevirinae	Caeruleovirus
GQ357915.1	Caudovirales	Myoviridae	unassigned	Ionavirus
NC_016563.1	Caudovirales	Herelleviridae	Bastillevirinae	Wphvirus
KF669652.1	Caudovirales	Herelleviridae	Bastillevirinae	Nitunavirus
KM199770.1	Caudovirales	Ackermannviridae	unassigned	unassigned
KF669653.1	Caudovirales	Myoviridae	unassigned	Viunavirus
NC_041997.1	Caudovirales	Myoviridae	unassigned	Busanvirus
JN797797.1	Caudovirales	Herelleviridae	Bastillevirinae	Tsarbombavirus
NC_025422.1	Caudovirales	Myoviridae	unassigned	unassigned
MG000860.1	Caudovirales	Herelleviridae	Bastillevirinae	Nitunavirus
NC_025452.1	Caudovirales	Ackermannviridae	Aglimvirinae	Limestonevirus
KY073123.1	Caudovirales	Ackermannviridae	unassigned	unassigned
LR215719.1	Caudovirales	Herelleviridae	Twortvirinae	Kayvirus
MG543995.1	Caudovirales	Siphoviridae	unassigned	unassigned
KJ451625.1	Caudovirales	Herelleviridae	Bastillevirinae	Caeruleovirus
MH880817.1	Caudovirales	Herelleviridae	Brockvirinae	unassigned
DQ997624.1	Caudovirales	Myoviridae	unassigned	unassigned
JQ691611.1	Caudovirales	Myoviridae	Vequintavirinae	Certrevirus
MH051333.1	Caudovirales	Myoviridae	unassigned	unassigned
AP011617.1	Caudovirales	Myoviridae	unassigned	unassigned
KJ010548.1	Caudovirales	Herelleviridae	Bastillevirinae	Agatevirus
MH363700.1	Caudovirales	Ackermannviridae	unassigned	unassigned
MH844529.1	Caudovirales	Herelleviridae	Twortvirinae	Kayvirus
MH675927.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_020081.2	Caudovirales	Herelleviridae	Bastillevirinae	Agatevirus
NC_028672.1	Caudovirales	Myoviridae	Vequintavirinae	Certrevirus
KT353109.1	Caudovirales	Myoviridae	Vequintavirinae	Certrevirus
JQ691612.1	Caudovirales	Myoviridae	Vequintavirinae	Certrevirus
MH028956.1	Caudovirales	Herelleviridae	Twortvirinae	unassigned
NC_028676.1	Caudovirales	Ackermannviridae	unassigned	unassigned
MG969412.1	Caudovirales	Siphoviridae	unassigned	Tequintavirus
NC_022968.1	Caudovirales	Myoviridae	Vequintavirinae	Seunavirus
JN882284.1	Caudovirales	Myoviridae	Vequintavirinae	Seunavirus
NC_027351.1	Caudovirales	Myoviridae	Vequintavirinae	Seunavirus
JX181824.1	Caudovirales	Myoviridae	Vequintavirinae	Seunavirus
MH015255.1	Caudovirales	Siphoviridae	unassigned	unassigned
GU169904.1	Caudovirales	Myoviridae	Ounavirinae	unassigned
MK721192.1	Caudovirales	Herelleviridae	Brockvirinae	Kochikohdavirus
KC465899.1	Caudovirales	Myoviridae	unassigned	unassigned
MK605244.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_042133.1	Caudovirales	Herelleviridae	Bastillevirinae	unassigned
KF669649.1	Caudovirales	Herelleviridae	Spounavirinae	Okubovirus
KC821632.1	Caudovirales	Podoviridae	unassigned	Lightbulbvirus
MK605245.1	Caudovirales	Siphoviridae	unassigned	unassigned
MF979563.1	Caudovirales	Myoviridae	Vequintavirinae	Certrevirus
NC_019487.1	Caudovirales	Herelleviridae	Spounavirinae	unassigned
NC_021328.1	unassigned	unassigned	unassigned	unassigned
KY794642.1	Caudovirales	Herelleviridae	Twortvirinae	Kayvirus
MG065644.1	Caudovirales	Myoviridae	Vequintavirinae	Vequintavirus
NC_028659.1	Caudovirales	Myoviridae	Vequintavirinae	unassigned
MF001365.1	Caudovirales	Herelleviridae	Twortvirinae	Kayvirus
MH321491.1	Caudovirales	Herelleviridae	Twortvirinae	Sepunavirus
HM114277.1	Caudovirales	Myoviridae	unassigned	unassigned
JQ015307.1	Caudovirales	Myoviridae	Vequintavirinae	Certrevirus
NC_028765.1	Caudovirales	Herelleviridae	Twortvirinae	Kayvirus
AB903967.1	Caudovirales	Herelleviridae	Twortvirinae	Kayvirus
MF001358.1	Caudovirales	Siphoviridae	unassigned	unassigned
KJ888149.1	Caudovirales	Herelleviridae	Twortvirinae	Kayvirus
NC_029073.1	Caudovirales	Siphoviridae	unassigned	unassigned
NC_028962.1	Caudovirales	Herelleviridae	Twortvirinae	Sepunavirus
KX171213.1	Caudovirales	Herelleviridae	Twortvirinae	unassigned
MF668286.1	Caudovirales	Siphoviridae	unassigned	Trinavirus
KJ018211.1	Caudovirales	Myoviridae	unassigned	unassigned
NC_028983.1	Caudovirales	Herelleviridae	Spounavirinae	Siminovitchvirus
NC_025423.1	Caudovirales	Herelleviridae	Spounavirinae	Siminovitchvirus
KU640380.1	Caudovirales	Herelleviridae	Bastillevirinae	unassigned
KJ535722.1	Caudovirales	Herelleviridae	Jasinkavirinae	Pecentumvirus
KC595512.2	Caudovirales	Herelleviridae	Spounavirinae	Siminovitchvirus
MK883717.1	Caudovirales	Myoviridae	Vequintavirinae	Vequintavirus
NC_019517.1	Caudovirales	Myoviridae	Vequintavirinae	Vequintavirus
NC_019511.1	Caudovirales	Herelleviridae	Twortvirinae	Silviavirus
